time,veh_u,veh_v,model_RNN_lon_1310.pt,model_RNN_lon_1311.pt,model_RNN_lon_1312.pt,model_RNN_lon_1313.pt,model_RNN_lon_1314.pt,model_RNN_lon_1315.pt,model_RNN_lon_1316.pt,model_RNN_lon_1317.pt,model_RNN_lon_1318.pt,model_RNN_lon_1319.pt,model_RNN_lon_1320.pt,model_RNN_lon_1321.pt,model_RNN_lon_1322.pt,model_RNN_lon_1323.pt,model_RNN_lon_1324.pt,model_RNN_lon_1325.pt,model_RNN_lon_1326.pt,model_RNN_lon_1327.pt,model_RNN_lon_1328.pt,model_RNN_lon_1329.pt,model_RNN_lon_1330.pt,model_RNN_lon_1331.pt,model_RNN_lon_1332.pt,model_RNN_lon_1333.pt,model_RNN_lon_1334.pt,model_RNN_lon_1335.pt,model_RNN_lon_1336.pt,model_RNN_lon_1337.pt,model_RNN_lon_1338.pt,model_RNN_lon_1339.pt,model_RNN_lon_1340.pt,model_RNN_lon_1341.pt,model_RNN_lon_1342.pt,model_RNN_lon_1343.pt,model_RNN_lon_1344.pt,model_RNN_lon_1345.pt,model_RNN_lon_1346.pt,model_RNN_lon_1347.pt,model_RNN_lon_1348.pt,model_RNN_lon_1349.pt,model_RNN_lon_1350.pt,model_RNN_lon_1351.pt,model_RNN_lon_1352.pt,model_RNN_lon_1353.pt,model_RNN_lon_1354.pt,model_RNN_lon_1355.pt,model_RNN_lon_1356.pt,model_RNN_lon_1357.pt,model_RNN_lon_1358.pt,model_RNN_lon_1359.pt,model_RNN_lon_1360.pt,model_RNN_lon_1361.pt,model_RNN_lon_1362.pt,model_RNN_lon_1363.pt,model_RNN_lon_1364.pt,model_RNN_lon_1365.pt,model_RNN_lon_1366.pt,model_RNN_lon_1367.pt,model_RNN_lon_1368.pt,model_RNN_lon_1369.pt,model_RNN_lon_1370.pt,model_RNN_lon_1371.pt,model_RNN_lon_1372.pt
0.2,0.0,0.0,0.009362146258354187,0.006636478006839752,3.023959159851074,0.006467729806900024,0.07468501478433609,0.04013187438249588,0.0656019076704979,0.09937715530395508,0.04089907556772232,0.04737775772809982,6.86655855178833,0.04658454656600952,0.05127578228712082,0.09147591888904572,0.06285665929317474,0.09075187891721725,-0.30248406529426575,0.049384310841560364,-0.45897620916366577,0.026803411543369293,8.421706199645996,0.028320729732513428,-0.27287954092025757,-0.013559605926275253,0.18122997879981995,0.09564947336912155,0.04712867736816406,0.06674562394618988,2.963040351867676,0.06379140913486481,0.09189040958881378,0.016102440655231476,0.0936526209115982,0.024577036499977112,0.07349783182144165,0.08105263113975525,0.04829002916812897,0.026688970625400543,0.03254197537899017,0.046688638627529144,0.08799783140420914,0.08466946333646774,0.031188949942588806,0.04974939674139023,0.08914442360401154,0.08502236008644104,0.0022762492299079895,-0.05337764322757721,-0.05667022615671158,0.045447900891304016,-0.04234221950173378,0.03922111168503761,0.004773613065481186,0.06002882122993469,0.02432754635810852,0.06106599420309067,0.047605082392692566,0.03341162949800491,0.06758598983287811,-0.03398696333169937,0.1166640967130661,0.06637723743915558,0.031088490039110184
0.21,0.0,0.0,0.009362146258354187,0.006636478006839752,3.023959159851074,0.006467729806900024,0.07468501478433609,0.04013187438249588,0.0656019076704979,0.09937715530395508,0.04089907556772232,0.04737775772809982,6.86655855178833,0.04658454656600952,0.05127578228712082,0.09147591888904572,0.06285665929317474,0.09075187891721725,-0.30248406529426575,0.049384310841560364,-0.45897620916366577,0.026803411543369293,8.421706199645996,0.028320729732513428,-0.27287954092025757,-0.013559605926275253,0.18122997879981995,0.09564947336912155,0.04712867736816406,0.06674562394618988,2.963040351867676,0.06379140913486481,0.09189040958881378,0.016102440655231476,0.0936526209115982,0.024577036499977112,0.07349783182144165,0.08105263113975525,0.04829002916812897,0.026688970625400543,0.03254197537899017,0.046688638627529144,0.08799783140420914,0.08466946333646774,0.031188949942588806,0.04974939674139023,0.08914442360401154,0.08502236008644104,0.0022762492299079895,-0.05337764322757721,-0.05667022615671158,0.045447900891304016,-0.04234221950173378,0.03922111168503761,0.004773613065481186,0.06002882122993469,0.02432754635810852,0.06106599420309067,0.047605082392692566,0.03341162949800491,0.06758598983287811,-0.03398696333169937,0.1166640967130661,0.06637723743915558,0.031088490039110184
0.22,0.0,0.0,0.009362146258354187,0.006636478006839752,3.023959159851074,0.006467729806900024,0.07468501478433609,0.04013187438249588,0.0656019076704979,0.09937715530395508,0.04089907556772232,0.04737775772809982,6.86655855178833,0.04658454656600952,0.05127578228712082,0.09147591888904572,0.06285665929317474,0.09075187891721725,-0.30248406529426575,0.049384310841560364,-0.45897620916366577,0.026803411543369293,8.421706199645996,0.028320729732513428,-0.27287954092025757,-0.013559605926275253,0.18122997879981995,0.09564947336912155,0.04712867736816406,0.06674562394618988,2.963040351867676,0.06379140913486481,0.09189040958881378,0.016102440655231476,0.0936526209115982,0.024577036499977112,0.07349783182144165,0.08105263113975525,0.04829002916812897,0.026688970625400543,0.03254197537899017,0.046688638627529144,0.08799783140420914,0.08466946333646774,0.031188949942588806,0.04974939674139023,0.08914442360401154,0.08502236008644104,0.0022762492299079895,-0.05337764322757721,-0.05667022615671158,0.045447900891304016,-0.04234221950173378,0.03922111168503761,0.004773613065481186,0.06002882122993469,0.02432754635810852,0.06106599420309067,0.047605082392692566,0.03341162949800491,0.06758598983287811,-0.03398696333169937,0.1166640967130661,0.06637723743915558,0.031088490039110184
0.23,0.0,0.0,0.009362146258354187,0.006636478006839752,3.023959159851074,0.006467729806900024,0.07468501478433609,0.04013187438249588,0.0656019076704979,0.09937715530395508,0.04089907556772232,0.04737775772809982,6.86655855178833,0.04658454656600952,0.05127578228712082,0.09147591888904572,0.06285665929317474,0.09075187891721725,-0.30248406529426575,0.049384310841560364,-0.45897620916366577,0.026803411543369293,8.421706199645996,0.028320729732513428,-0.27287954092025757,-0.013559605926275253,0.18122997879981995,0.09564947336912155,0.04712867736816406,0.06674562394618988,2.963040351867676,0.06379140913486481,0.09189040958881378,0.016102440655231476,0.0936526209115982,0.024577036499977112,0.07349783182144165,0.08105263113975525,0.04829002916812897,0.026688970625400543,0.03254197537899017,0.046688638627529144,0.08799783140420914,0.08466946333646774,0.031188949942588806,0.04974939674139023,0.08914442360401154,0.08502236008644104,0.0022762492299079895,-0.05337764322757721,-0.05667022615671158,0.045447900891304016,-0.04234221950173378,0.03922111168503761,0.004773613065481186,0.06002882122993469,0.02432754635810852,0.06106599420309067,0.047605082392692566,0.03341162949800491,0.06758598983287811,-0.03398696333169937,0.1166640967130661,0.06637723743915558,0.031088490039110184
0.24,0.0,0.0,0.009362146258354187,0.006636478006839752,3.023959159851074,0.006467729806900024,0.07468501478433609,0.04013187438249588,0.0656019076704979,0.09937715530395508,0.04089907556772232,0.04737775772809982,6.86655855178833,0.04658454656600952,0.05127578228712082,0.09147591888904572,0.06285665929317474,0.09075187891721725,-0.30248406529426575,0.049384310841560364,-0.45897620916366577,0.026803411543369293,8.421706199645996,0.028320729732513428,-0.27287954092025757,-0.013559605926275253,0.18122997879981995,0.09564947336912155,0.04712867736816406,0.06674562394618988,2.963040351867676,0.06379140913486481,0.09189040958881378,0.016102440655231476,0.0936526209115982,0.024577036499977112,0.07349783182144165,0.08105263113975525,0.04829002916812897,0.026688970625400543,0.03254197537899017,0.046688638627529144,0.08799783140420914,0.08466946333646774,0.031188949942588806,0.04974939674139023,0.08914442360401154,0.08502236008644104,0.0022762492299079895,-0.05337764322757721,-0.05667022615671158,0.045447900891304016,-0.04234221950173378,0.03922111168503761,0.004773613065481186,0.06002882122993469,0.02432754635810852,0.06106599420309067,0.047605082392692566,0.03341162949800491,0.06758598983287811,-0.03398696333169937,0.1166640967130661,0.06637723743915558,0.031088490039110184
0.25,0.0,0.0,0.009362146258354187,0.006636478006839752,3.023959159851074,0.006467729806900024,0.07468501478433609,0.04013187438249588,0.0656019076704979,0.09937715530395508,0.04089907556772232,0.04737775772809982,6.86655855178833,0.04658454656600952,0.05127578228712082,0.09147591888904572,0.06285665929317474,0.09075187891721725,-0.30248406529426575,0.049384310841560364,-0.45897620916366577,0.026803411543369293,8.421706199645996,0.028320729732513428,-0.27287954092025757,-0.013559605926275253,0.18122997879981995,0.09564947336912155,0.04712867736816406,0.06674562394618988,2.963040351867676,0.06379140913486481,0.09189040958881378,0.016102440655231476,0.0936526209115982,0.024577036499977112,0.07349783182144165,0.08105263113975525,0.04829002916812897,0.026688970625400543,0.03254197537899017,0.046688638627529144,0.08799783140420914,0.08466946333646774,0.031188949942588806,0.04974939674139023,0.08914442360401154,0.08502236008644104,0.0022762492299079895,-0.05337764322757721,-0.05667022615671158,0.045447900891304016,-0.04234221950173378,0.03922111168503761,0.004773613065481186,0.06002882122993469,0.02432754635810852,0.06106599420309067,0.047605082392692566,0.03341162949800491,0.06758598983287811,-0.03398696333169937,0.1166640967130661,0.06637723743915558,0.031088490039110184
0.26,0.0,0.0,0.009362146258354187,0.006636478006839752,3.023959159851074,0.006467729806900024,0.07468501478433609,0.04013187438249588,0.0656019076704979,0.09937715530395508,0.04089907556772232,0.04737775772809982,6.86655855178833,0.04658454656600952,0.05127578228712082,0.09147591888904572,0.06285665929317474,0.09075187891721725,-0.30248406529426575,0.049384310841560364,-0.45897620916366577,0.026803411543369293,8.421706199645996,0.028320729732513428,-0.27287954092025757,-0.013559605926275253,0.18122997879981995,0.09564947336912155,0.04712867736816406,0.06674562394618988,2.963040351867676,0.06379140913486481,0.09189040958881378,0.016102440655231476,0.0936526209115982,0.024577036499977112,0.07349783182144165,0.08105263113975525,0.04829002916812897,0.026688970625400543,0.03254197537899017,0.046688638627529144,0.08799783140420914,0.08466946333646774,0.031188949942588806,0.04974939674139023,0.08914442360401154,0.08502236008644104,0.0022762492299079895,-0.05337764322757721,-0.05667022615671158,0.045447900891304016,-0.04234221950173378,0.03922111168503761,0.004773613065481186,0.06002882122993469,0.02432754635810852,0.06106599420309067,0.047605082392692566,0.03341162949800491,0.06758598983287811,-0.03398696333169937,0.1166640967130661,0.06637723743915558,0.031088490039110184
0.27,0.0,0.0,0.009362146258354187,0.006636478006839752,3.023959159851074,0.006467729806900024,0.07468501478433609,0.04013187438249588,0.0656019076704979,0.09937715530395508,0.04089907556772232,0.04737775772809982,6.86655855178833,0.04658454656600952,0.05127578228712082,0.09147591888904572,0.06285665929317474,0.09075187891721725,-0.30248406529426575,0.049384310841560364,-0.45897620916366577,0.026803411543369293,8.421706199645996,0.028320729732513428,-0.27287954092025757,-0.013559605926275253,0.18122997879981995,0.09564947336912155,0.04712867736816406,0.06674562394618988,2.963040351867676,0.06379140913486481,0.09189040958881378,0.016102440655231476,0.0936526209115982,0.024577036499977112,0.07349783182144165,0.08105263113975525,0.04829002916812897,0.026688970625400543,0.03254197537899017,0.046688638627529144,0.08799783140420914,0.08466946333646774,0.031188949942588806,0.04974939674139023,0.08914442360401154,0.08502236008644104,0.0022762492299079895,-0.05337764322757721,-0.05667022615671158,0.045447900891304016,-0.04234221950173378,0.03922111168503761,0.004773613065481186,0.06002882122993469,0.02432754635810852,0.06106599420309067,0.047605082392692566,0.03341162949800491,0.06758598983287811,-0.03398696333169937,0.1166640967130661,0.06637723743915558,0.031088490039110184
0.28,0.0,0.0,0.009362146258354187,0.006636478006839752,3.023959159851074,0.006467729806900024,0.07468501478433609,0.04013187438249588,0.0656019076704979,0.09937715530395508,0.04089907556772232,0.04737775772809982,6.86655855178833,0.04658454656600952,0.05127578228712082,0.09147591888904572,0.06285665929317474,0.09075187891721725,-0.30248406529426575,0.049384310841560364,-0.45897620916366577,0.026803411543369293,8.421706199645996,0.028320729732513428,-0.27287954092025757,-0.013559605926275253,0.18122997879981995,0.09564947336912155,0.04712867736816406,0.06674562394618988,2.963040351867676,0.06379140913486481,0.09189040958881378,0.016102440655231476,0.0936526209115982,0.024577036499977112,0.07349783182144165,0.08105263113975525,0.04829002916812897,0.026688970625400543,0.03254197537899017,0.046688638627529144,0.08799783140420914,0.08466946333646774,0.031188949942588806,0.04974939674139023,0.08914442360401154,0.08502236008644104,0.0022762492299079895,-0.05337764322757721,-0.05667022615671158,0.045447900891304016,-0.04234221950173378,0.03922111168503761,0.004773613065481186,0.06002882122993469,0.02432754635810852,0.06106599420309067,0.047605082392692566,0.03341162949800491,0.06758598983287811,-0.03398696333169937,0.1166640967130661,0.06637723743915558,0.031088490039110184
0.29,0.0,0.0,0.009362146258354187,0.006636478006839752,3.023959159851074,0.006467729806900024,0.07468501478433609,0.04013187438249588,0.0656019076704979,0.09937715530395508,0.04089907556772232,0.04737775772809982,6.86655855178833,0.04658454656600952,0.05127578228712082,0.09147591888904572,0.06285665929317474,0.09075187891721725,-0.30248406529426575,0.049384310841560364,-0.45897620916366577,0.026803411543369293,8.421706199645996,0.028320729732513428,-0.27287954092025757,-0.013559605926275253,0.18122997879981995,0.09564947336912155,0.04712867736816406,0.06674562394618988,2.963040351867676,0.06379140913486481,0.09189040958881378,0.016102440655231476,0.0936526209115982,0.024577036499977112,0.07349783182144165,0.08105263113975525,0.04829002916812897,0.026688970625400543,0.03254197537899017,0.046688638627529144,0.08799783140420914,0.08466946333646774,0.031188949942588806,0.04974939674139023,0.08914442360401154,0.08502236008644104,0.0022762492299079895,-0.05337764322757721,-0.05667022615671158,0.045447900891304016,-0.04234221950173378,0.03922111168503761,0.004773613065481186,0.06002882122993469,0.02432754635810852,0.06106599420309067,0.047605082392692566,0.03341162949800491,0.06758598983287811,-0.03398696333169937,0.1166640967130661,0.06637723743915558,0.031088490039110184
0.3,0.0,0.0,0.009362146258354187,0.006636478006839752,3.023959159851074,0.006467729806900024,0.07468501478433609,0.04013187438249588,0.0656019076704979,0.09937715530395508,0.04089907556772232,0.04737775772809982,6.86655855178833,0.04658454656600952,0.05127578228712082,0.09147591888904572,0.06285665929317474,0.09075187891721725,-0.30248406529426575,0.049384310841560364,-0.45897620916366577,0.026803411543369293,8.421706199645996,0.028320729732513428,-0.27287954092025757,-0.013559605926275253,0.18122997879981995,0.09564947336912155,0.04712867736816406,0.06674562394618988,2.963040351867676,0.06379140913486481,0.09189040958881378,0.016102440655231476,0.0936526209115982,0.024577036499977112,0.07349783182144165,0.08105263113975525,0.04829002916812897,0.026688970625400543,0.03254197537899017,0.046688638627529144,0.08799783140420914,0.08466946333646774,0.031188949942588806,0.04974939674139023,0.08914442360401154,0.08502236008644104,0.0022762492299079895,-0.05337764322757721,-0.05667022615671158,0.045447900891304016,-0.04234221950173378,0.03922111168503761,0.004773613065481186,0.06002882122993469,0.02432754635810852,0.06106599420309067,0.047605082392692566,0.03341162949800491,0.06758598983287811,-0.03398696333169937,0.1166640967130661,0.06637723743915558,0.031088490039110184
0.31,0.0,0.0,0.009362146258354187,0.006636478006839752,3.023959159851074,0.006467729806900024,0.07468501478433609,0.04013187438249588,0.0656019076704979,0.09937715530395508,0.04089907556772232,0.04737775772809982,6.86655855178833,0.04658454656600952,0.05127578228712082,0.09147591888904572,0.06285665929317474,0.09075187891721725,-0.30248406529426575,0.049384310841560364,-0.45897620916366577,0.026803411543369293,8.421706199645996,0.028320729732513428,-0.27287954092025757,-0.013559605926275253,0.18122997879981995,0.09564947336912155,0.04712867736816406,0.06674562394618988,2.963040351867676,0.06379140913486481,0.09189040958881378,0.016102440655231476,0.0936526209115982,0.024577036499977112,0.07349783182144165,0.08105263113975525,0.04829002916812897,0.026688970625400543,0.03254197537899017,0.046688638627529144,0.08799783140420914,0.08466946333646774,0.031188949942588806,0.04974939674139023,0.08914442360401154,0.08502236008644104,0.0022762492299079895,-0.05337764322757721,-0.05667022615671158,0.045447900891304016,-0.04234221950173378,0.03922111168503761,0.004773613065481186,0.06002882122993469,0.02432754635810852,0.06106599420309067,0.047605082392692566,0.03341162949800491,0.06758598983287811,-0.03398696333169937,0.1166640967130661,0.06637723743915558,0.031088490039110184
0.32,0.01094,0.0,0.009362146258354187,0.006636478006839752,3.023959159851074,0.006467729806900024,0.07468501478433609,0.04013187438249588,0.0656019076704979,0.09937715530395508,0.04089907556772232,0.04737775772809982,6.86655855178833,0.04658454656600952,0.05127578228712082,0.09147591888904572,0.06285665929317474,0.09075187891721725,-0.30248406529426575,0.049384310841560364,-0.45897620916366577,0.026803411543369293,8.421706199645996,0.028320729732513428,-0.27287954092025757,-0.013559605926275253,0.18122997879981995,0.09564947336912155,0.04712867736816406,0.06674562394618988,2.963040351867676,0.06379140913486481,0.09189040958881378,0.016102440655231476,0.0936526209115982,0.024577036499977112,0.07349783182144165,0.08105263113975525,0.04829002916812897,0.026688970625400543,0.03254197537899017,0.046688638627529144,0.08799783140420914,0.08466946333646774,0.031188949942588806,0.04974939674139023,0.08914442360401154,0.08502236008644104,0.0022762492299079895,-0.05337764322757721,-0.05667022615671158,0.045447900891304016,-0.04234221950173378,0.03922111168503761,0.004773613065481186,0.06002882122993469,0.02432754635810852,0.06106599420309067,0.047605082392692566,0.03341162949800491,0.06758598983287811,-0.03398696333169937,0.1166640967130661,0.06637723743915558,0.031088490039110184
0.33,0.01192,0.0,0.009362146258354187,0.006636478006839752,3.023959159851074,0.006467729806900024,0.07468501478433609,0.04013187438249588,0.0656019076704979,0.09937715530395508,0.04089907556772232,0.04737775772809982,6.86655855178833,0.04658454656600952,0.05127578228712082,0.09147591888904572,0.06285665929317474,0.09075187891721725,-0.30248406529426575,0.049384310841560364,-0.45897620916366577,0.026803411543369293,8.421706199645996,0.028320729732513428,-0.27287954092025757,-0.013559605926275253,0.18122997879981995,0.09564947336912155,0.04712867736816406,0.06674562394618988,2.963040351867676,0.06379140913486481,0.09189040958881378,0.016102440655231476,0.0936526209115982,0.024577036499977112,0.07349783182144165,0.08105263113975525,0.04829002916812897,0.026688970625400543,0.03254197537899017,0.046688638627529144,0.08799783140420914,0.08466946333646774,0.031188949942588806,0.04974939674139023,0.08914442360401154,0.08502236008644104,0.0022762492299079895,-0.05337764322757721,-0.05667022615671158,0.045447900891304016,-0.04234221950173378,0.03922111168503761,0.004773613065481186,0.06002882122993469,0.02432754635810852,0.06106599420309067,0.047605082392692566,0.03341162949800491,0.06758598983287811,-0.03398696333169937,0.1166640967130661,0.06637723743915558,0.031088490039110184
